transcript_id,10-100,10-D,8-100,8-D,9-100,9-D
Prupe.6G364000.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G158800.5_v2.0.a1,0,0,0,0,0,0
Prupe.8G119200.4_v2.0.a1,0,0,0,0,0,0
MSTRG.14482.3,103,3,0,0,0,119
Prupe.7G023400.37_v2.0.a1,0,0,0,0,0,0
Prupe.6G213500.1_v2.0.a1,286,520,267,553,167,362
Prupe.4G204600.1_v2.0.a1,14,0,17,0,12,0
Prupe.6G141100.1_v2.0.a1,112,142,23,567,40,232
Prupe.6G335000.2_v2.0.a1,246,266,465,285,403,57
Prupe.7G264300.17_v2.0.a1,0,0,0,0,0,6
Prupe.1G347800.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G181400.1_v2.0.a1,1,2,0,1,2,1
MSTRG.6970.2,3,16,4,4,2,13
MSTRG.11691.3,612,37,775,131,269,37
Prupe.1G410900.1_v2.0.a1,40,0,167,0,30,0
MSTRG.2481.1,37,35,48,33,32,45
Prupe.6G000900.2_v2.0.a1,2,2,3,16,1,1
Prupe.6G157500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G293100.2_v2.0.a1,0,0,0,0,0,0
Prupe.8G018300.1_v2.0.a1,91,60,497,104,97,0
Prupe.7G101800.1_v2.0.a1,58,0,56,9,24,5
Prupe.3G200500.3_v2.0.a1,6,15,0,8,8,23
Prupe.5G070600.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G321300.1_v2.0.a1,0,0,0,0,0,0
MSTRG.6027.3,82,201,71,81,53,248
MSTRG.3753.3,0,0,0,516,0,261
Prupe.1G459000.5_v2.0.a1,0,0,0,0,0,0
Prupe.8G187400.1_v2.0.a1,22,0,12,19,22,20
MSTRG.3753.2,350,622,35,218,320,196
Prupe.3G270100.5_v2.0.a1,0,0,0,0,0,0
MSTRG.19815.6,0,0,0,11,0,0
MSTRG.3760.2,170,0,77,0,71,0
Prupe.1G326400.1_v2.0.a1,755,423,758,309,491,345
MSTRG.19796.3,9,21,6,13,7,25
Prupe.3G228800.1_v2.0.a1,1,5,1,5,1,3
Prupe.1G317100.7_v2.0.a1,0,0,0,0,0,0
Prupe.4G125000.1_v2.0.a1,1965,1526,2182,1484,1868,1470
Prupe.3G118000.2_v2.0.a1,226,36,319,19,262,18
MSTRG.20354.1,6,73,45,49,25,0
Prupe.8G095300.1_v2.0.a1,0,1,0,0,0,0
Prupe.5G058400.3_v2.0.a1,209,148,260,142,172,131
MSTRG.5391.1,19,49,26,34,16,25
Prupe.8G198500.1_v2.0.a1,0,6,0,7,0,3
Prupe.7G213100.2_v2.0.a1,15,10,24,16,29,23
MSTRG.16084.4,0,6,40,0,1,0
Prupe.1G321900.10_v2.0.a1,11,0,18,0,8,3
Prupe.7G045800.1_v2.0.a1,2,4,0,3,0,3
Prupe.2G321600.1_v2.0.a1,0,172,185,173,132,166
Prupe.1G078300.1_v2.0.a1,25,0,25,12,18,9
Prupe.6G139900.2_v2.0.a1,213,64,0,0,180,1
MSTRG.20066.2,0,351,0,0,0,0
MSTRG.7960.1,56,186,7,109,7,37
Prupe.6G177100.1_v2.0.a1,143,99,132,134,107,110
Prupe.6G351300.2_v2.0.a1,0,0,0,0,0,0
Prupe.7G264300.6_v2.0.a1,61,19,44,12,9,0
MSTRG.16124.1,50,37,52,43,35,46
MSTRG.18862.3,0,94,35,0,0,0
MSTRG.18862.4,22,0,25,0,0,0
MSTRG.18862.6,79,241,281,68,101,64
Prupe.3G176400.1_v2.0.a1,0,5,7,6,0,0
Prupe.1G115400.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G149200.1_v2.0.a1,317,329,306,430,213,243
MSTRG.6894.10,0,3,15,5,4,18
MSTRG.6894.11,150,72,109,154,83,53
MSTRG.6894.12,49,71,0,131,0,0
MSTRG.6894.13,0,0,0,0,137,0
Prupe.5G214500.1_v2.0.a1,127,62,124,58,67,48
Prupe.1G330500.1_v2.0.a1,360,101,473,129,361,64
Prupe.3G027100.1_v2.0.a1,0,0,41,25,1,0
Prupe.2G314800.1_v2.0.a1,39,41,298,82,107,178
Prupe.8G148000.2_v2.0.a1,0,16,0,25,0,11
Prupe.2G244400.1_v2.0.a1,700,1201,814,1256,543,722
MSTRG.2648.3,0,0,0,0,35,0
MSTRG.2648.2,72,155,133,161,76,29
Prupe.3G051500.8_v2.0.a1,290,52,213,87,163,0
MSTRG.873.1,2,15,1,28,1,37
Prupe.7G196400.1_v2.0.a1,89,25,159,37,16,0
MSTRG.7383.2,0,0,0,0,3,68
Prupe.2G068100.1_v2.0.a1,676,78,1153,0,899,48
Prupe.6G061200.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G174400.1_v2.0.a1,65,93,70,124,7,124
Prupe.3G123200.1_v2.0.a1,133,615,152,665,103,522
Prupe.3G189800.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G098500.1_v2.0.a1,842,448,898,252,682,449
Prupe.4G216200.1_v2.0.a1,393,244,407,202,273,170
Prupe.7G004500.1_v2.0.a1,43,86,45,97,24,54
Prupe.1G080900.1_v2.0.a1,379,113,393,86,326,80
MSTRG.9451.4,8,397,119,396,79,1265
Prupe.4G025600.4_v2.0.a1,6,8,12,21,10,12
Prupe.1G492400.1_v2.0.a1,18,6,17,6,13,4
MSTRG.13283.3,7,253,3,98,10,143
MSTRG.13283.2,88,874,130,561,114,207
MSTRG.6948.1,101,153,127,102,75,97
Prupe.7G209800.1_v2.0.a1,0,0,0,0,14,0
Prupe.1G038400.1_v2.0.a1,0,1,2,1,1,0
Prupe.8G182600.1_v2.0.a1,434,308,479,297,301,244
Prupe.1G485700.2_v2.0.a1,0,1,1,9,140,2
Prupe.1G516400.3_v2.0.a1,8,3,11,0,15,0
Prupe.2G159800.1_v2.0.a1,124,247,135,251,92,0
Prupe.1G247200.2_v2.0.a1,0,0,0,0,0,0
MSTRG.5030.2,3,0,2,0,0,0
Prupe.6G263100.1_v2.0.a1,55,20,68,22,47,15
Prupe.1G182000.1_v2.0.a1,41,111,43,81,24,85
Prupe.5G152000.1_v2.0.a1,384,1085,444,915,230,529
Prupe.2G185700.1_v2.0.a1,85,85,76,85,51,75
Prupe.7G248400.15_v2.0.a1,0,0,0,0,0,0
Prupe.2G118100.1_v2.0.a1,0,0,3,2,1,0
Prupe.3G162400.1_v2.0.a1,25,21,24,15,16,8
Prupe.1G331100.1_v2.0.a1,108,199,243,203,263,120
Prupe.5G094200.1_v2.0.a1,0,6,0,8,0,3
Prupe.3G053200.1_v2.0.a1,271,288,163,80,221,162
Prupe.7G064600.2_v2.0.a1,0,24,0,16,0,15
Prupe.1G164900.3_v2.0.a1,0,0,0,0,0,0
Prupe.3G127500.3_v2.0.a1,0,0,0,0,0,0
Prupe.8G169700.1_v2.0.a1,0,176,0,0,3,112
MSTRG.14204.4,198,114,228,108,236,66
Prupe.6G091300.6_v2.0.a1,0,0,0,0,0,0
MSTRG.18994.1,0,0,0,2,0,0
Prupe.8G144000.1_v2.0.a1,533,180,816,342,546,180
MSTRG.8890.2,14,10,26,12,14,7
Prupe.1G482500.1_v2.0.a1,20,211,9,124,13,88
Prupe.2G012600.1_v2.0.a1,0,299,27,37,0,0
Prupe.5G203300.1_v2.0.a1,541,516,635,594,470,282
Prupe.7G207100.14_v2.0.a1,0,0,0,0,0,0
Prupe.2G004500.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G126200.1_v2.0.a1,46,3,101,0,63,5
Prupe.8G061500.7_v2.0.a1,0,0,0,0,0,0
MSTRG.6727.1,0,18,0,56,0,0
Prupe.1G150100.1_v2.0.a1,33,92,34,117,30,79
Prupe.4G105100.5_v2.0.a1,0,98,0,0,0,5
MSTRG.9923.3,110,0,309,0,0,0
