Prupe.I003300.1.p	Pav_sc0006468.1_g010.1.br
Prupe.2G193300.5.p	Pav_sc0000586.1_g620.1.mk
Prupe.2G201800.1.p	Pav_sc0001046.1_g560.1.mk
Prupe.2G002200.1.p	Pav_sc0000649.1_g050.1.mk
Prupe.2G102900.1.p	Pav_sc0001444.1_g090.1.mk
Prupe.2G212200.1.p	Pav_sc0000084.1_g510.1.mk
Prupe.2G162400.1.p	Pav_sc0000675.1_g390.1.mk
Prupe.2G247000.2.p	Pav_sc0002574.1_g140.1.mk
Prupe.2G121200.2.p	Pav_sc0005664.1_g030.1.mk
Prupe.2G020700.1.p	Pav_sc0002016.1_g010.1.mk
Prupe.2G069300.4.p	Pav_sc0001045.1_g140.1.mk
Prupe.2G101500.1.p	Pav_sc0001708.1_g070.1.br
Prupe.2G038700.3.p	Pav_sc0000793.1_g150.1.mk
Prupe.2G197100.1.p	Pav_sc0001046.1_g050.1.mk
Prupe.2G307400.1.p	Pav_sc0001335.1_g560.1.mk
Prupe.2G100600.1.p	Pav_sc0000422.1_g120.1.mk
Prupe.2G295500.1.p	Pav_sc0001405.1_g1070.1.mk
Prupe.2G313000.2.p	Pav_sc0000138.1_g1190.1.mk
Prupe.2G195000.1.p	Pav_sc0002465.1_g030.1.br
Prupe.2G261000.1.p	Pav_sc0001205.1_g350.1.mk
Prupe.2G173600.1.p	Pav_sc0000254.1_g1470.1.mk
Prupe.2G277000.1.p	Pav_sc0001102.1_g680.1.mk
Prupe.2G223200.1.p	Pav_sc0006412.1_g010.1.br
Prupe.2G254300.1.p	Pav_sc0000143.1_g140.1.mk
Prupe.2G073400.1.p	Pav_sc0003054.1_g200.1.mk
Prupe.2G183300.1.p	Pav_sc0000254.1_g250.1.mk
Prupe.2G196100.1.p	Pav_sc0000586.1_g960.1.br
Prupe.2G292500.2.p	Pav_sc0001405.1_g800.1.mk
Prupe.2G064600.1.p	Pav_sc0001222.1_g370.1.mk
Prupe.2G211000.1.p	Pav_sc0000084.1_g730.1.mk
Prupe.2G252500.1.p	Pav_sc0000143.1_g330.1.mk
Prupe.2G149200.1.p	Pav_sc0000072.1_g420.1.mk
Prupe.2G172300.1.p	Pav_sc0000102.1_g100.1.br
Prupe.2G232600.1.p	Pav_sc0000554.1_g1340.1.mk
Prupe.2G108000.1.p	Pav_sc0000503.1_g600.1.mk
Prupe.2G200200.1.p	Pav_sc0001046.1_g440.1.mk
Prupe.2G280700.3.p	Pav_sc0001102.1_g1010.1.mk
Prupe.2G325600.1.p	Pav_sc0000636.1_g170.1.mk
Prupe.2G145600.1.p	Pav_sc0000072.1_g020.1.mk
Prupe.2G211300.1.p	Pav_sc0000084.1_g620.1.mk
Prupe.2G195100.1.p	Pav_sc0000586.1_g840.1.mk
Prupe.2G280500.1.p	Pav_sc0001102.1_g970.1.mk
Prupe.2G011700.1.p	Pav_sc0003708.1_g110.1.mk
Prupe.2G211400.2.p	Pav_sc0000084.1_g610.1.mk
Prupe.2G033200.1.p	Pav_sc0002474.1_g350.1.mk
Prupe.2G114800.1.p	Pav_sc0002266.1_g230.1.mk
Prupe.2G220500.1.p	Pav_sc0000789.1_g250.1.mk
Prupe.2G063700.1.p	Pav_sc0001540.1_g560.1.mk
Prupe.2G095000.1.p	Pav_sc0000702.1_g200.1.mk
Prupe.2G280400.1.p	Pav_sc0000034.1_g120.1.mk
Prupe.2G143900.1.p	Pav_sc0000017.1_g100.1.mk
Prupe.2G224800.1.p	Pav_sc0000554.1_g2270.1.mk
Prupe.2G286700.1.p	Pav_sc0001405.1_g240.1.br
Prupe.2G064900.1.p	Pav_sc0001936.1_g100.1.br
Prupe.2G048500.1.p	Pav_sc0006100.1_g030.1.mk
Prupe.2G309500.1.p	Pav_sc0001335.1_g340.1.mk
Prupe.2G123200.1.p	Pav_sc0000038.1_g350.1.mk
Prupe.2G084200.1.p	Pav_sc0001111.1_g270.1.mk
Prupe.2G013300.1.p	Pav_sc0004348.1_g230.1.mk
Prupe.2G067500.1.p	Pav_sc0000123.1_g840.1.br
Prupe.2G058000.1.p	Pav_sc0002291.1_g010.1.br
Prupe.2G059000.3.p	Pav_sc0000451.1_g200.1.mk
Prupe.2G095400.1.p	Pav_sc0000702.1_g260.1.mk
Prupe.2G305200.1.p	Pav_sc0001405.1_g1990.1.mk
Prupe.2G311400.2.p	Pav_sc0001335.1_g150.1.mk
Prupe.2G128200.2.p	Pav_sc0004637.1_g040.1.mk
Prupe.2G277200.1.p	Pav_sc0001102.1_g720.1.mk
Prupe.2G193600.1.p	Pav_sc0000586.1_g650.1.mk
Prupe.2G075100.2.p	Pav_sc0002514.1_g130.1.mk
Prupe.2G040700.1.p	Pav_sc0000170.1_g130.1.mk
Prupe.2G109000.1.p	Pav_sc0000503.1_g750.1.mk
Prupe.2G053600.3.p	Pav_sc0010414.1_g030.1.br
Prupe.2G137000.1.p	Pav_sc0000026.1_g210.1.mk
Prupe.2G058100.1.p	Pav_sc0002291.1_g020.1.mk
Prupe.2G016100.2.p	Pav_sc0004464.1_g020.1.mk
Prupe.2G050000.1.p	Pav_sc0001103.1_g080.1.mk
Prupe.2G326500.1.p	Pav_sc0000636.1_g280.1.mk
Prupe.2G309000.1.p	Pav_sc0001335.1_g400.1.mk
Prupe.2G238800.1.p	Pav_sc0000554.1_g470.1.mk
Prupe.2G302800.1.p	Pav_sc0001405.1_g1730.1.mk
Prupe.2G132100.1.p	Pav_sc0000200.1_g210.1.mk
Prupe.2G064700.1.p	Pav_sc0001411.1_g030.1.br
Prupe.2G123500.2.p	Pav_sc0000038.1_g320.1.mk
Prupe.2G021800.2.p	Pav_sc0003515.1_g080.1.mk
Prupe.2G145700.1.p	Pav_sc0000072.1_g030.1.mk
Prupe.2G244000.1.p	Pav_sc0000979.1_g140.1.mk
Prupe.2G311000.1.p	Pav_sc0001335.1_g190.1.mk
Prupe.2G049000.1.p	Pav_sc0002549.1_g030.1.mk
Prupe.2G240900.1.p	Pav_sc0000554.1_g280.1.mk
Prupe.2G301700.1.p	Pav_sc0001405.1_g1580.1.mk
Prupe.2G097300.2.p	Pav_sc0000702.1_g410.1.mk
Prupe.2G183400.1.p	Pav_sc0000254.1_g240.1.mk
Prupe.2G065700.5.p	Pav_sc0000403.1_g050.1.mk
Prupe.2G099200.1.p	Pav_sc0000314.1_g220.1.mk
Prupe.2G254200.1.p	Pav_sc0000143.1_g150.1.mk
Prupe.2G264800.1.p	Pav_sc0001582.1_g340.1.mk
Prupe.2G016500.1.p	Pav_sc0000531.1_g010.1.br
Prupe.2G243900.1.p	Pav_sc0000979.1_g150.1.mk
Prupe.2G146300.2.p	Pav_sc0000072.1_g110.1.mk
Prupe.2G277700.1.p	Pav_sc0001102.1_g770.1.mk
Prupe.2G238700.1.p	Pav_sc0001280.1_g170.1.br
Prupe.2G207600.1.p	Pav_sc0001183.1_g510.1.mk
Prupe.2G071700.1.p	Pav_sc0004204.1_g040.1.mk
Prupe.2G123700.2.p	Pav_sc0000038.1_g300.1.mk
Prupe.2G300700.1.p	Pav_sc0001405.1_g1490.1.mk
Prupe.2G115100.1.p	Pav_sc0002266.1_g260.1.mk
Prupe.2G052500.2.p	Pav_sc0001147.1_g140.1.mk
Prupe.2G161700.1.p	Pav_sc0000675.1_g510.1.mk
Prupe.2G093900.2.p	Pav_sc0000702.1_g060.1.mk
Prupe.2G045700.1.p	Pav_sc0001129.1_g060.1.mk
Prupe.2G298700.4.p	Pav_sc0001405.1_g1310.1.mk
Prupe.2G124200.4.p	Pav_sc0008713.1_g020.1.mk
Prupe.2G275900.1.p	Pav_sc0001102.1_g610.1.mk
Prupe.2G117000.2.p	Pav_sc0001059.1_g010.1.mk
Prupe.2G224600.1.p	Pav_sc0000554.1_g2280.1.mk
Prupe.2G302600.1.p	Pav_sc0001405.1_g1700.1.mk
Prupe.2G313700.1.p	Pav_sc0000138.1_g1130.1.mk
Prupe.2G256300.1.p	Pav_sc0000057.1_g090.1.mk
Prupe.2G061800.1.p	Pav_sc0001991.1_g210.1.mk
Prupe.2G229000.1.p	Pav_sc0000554.1_g1730.1.mk
Prupe.2G255000.1.p	Pav_sc0000143.1_g050.1.mk
Prupe.2G039000.1.p	Pav_sc0000793.1_g210.1.mk
Prupe.2G259300.1.p	Pav_sc0001205.1_g180.1.mk
Prupe.2G327200.1.p	Pav_sc0000636.1_g360.1.mk
Prupe.2G129200.1.p	Pav_sc0001557.1_g140.1.mk
Prupe.2G034500.2.p	Pav_sc0001883.1_g170.1.mk
Prupe.2G310500.1.p	Pav_sc0001335.1_g250.1.mk
Prupe.2G023300.3.p	Pav_sc0000960.1_g130.1.mk
Prupe.2G318600.1.p	Pav_sc0000138.1_g660.1.mk
Prupe.2G297300.1.p	Pav_sc0001405.1_g1200.1.mk
Prupe.2G144600.1.p	Pav_sc0002998.1_g030.1.mk
Prupe.2G001800.1.p	Pav_sc0000649.1_g010.1.mk
Prupe.2G090200.2.p	Pav_sc0000976.1_g110.1.mk
Prupe.2G149600.1.p	Pav_sc0000072.1_g500.1.mk
Prupe.2G020400.1.p	Pav_sc0003905.1_g010.1.mk
Prupe.2G232100.1.p	Pav_sc0000554.1_g1380.1.br
Prupe.2G244500.5.p	Pav_sc0000979.1_g110.1.mk
Prupe.2G219300.1.p	Pav_sc0000789.1_g080.1.mk
Prupe.2G216500.1.p	Pav_sc0000558.1_g680.1.br
Prupe.2G321600.1.p	Pav_sc0000138.1_g350.1.mk
Prupe.2G257800.1.p	Pav_sc0001205.1_g050.1.mk
Prupe.2G061900.1.p	Pav_sc0001991.1_g200.1.mk
Prupe.2G288000.1.p	Pav_sc0001405.1_g360.1.mk
Prupe.2G025300.1.p	Pav_sc0002387.1_g130.1.br
Prupe.2G253700.1.p	Pav_sc0000143.1_g210.1.mk
Prupe.2G182000.2.p	Pav_sc0000254.1_g400.1.mk
Prupe.2G048000.1.p	Pav_sc0000820.1_g040.1.mk
Prupe.2G167200.1.p	Pav_sc0000102.1_g760.1.mk
Prupe.2G128700.1.p	Pav_sc0000854.1_g050.1.br
Prupe.2G247900.3.p	Pav_sc0001102.1_g050.1.mk
Prupe.2G315800.1.p	Pav_sc0000138.1_g960.1.mk
Prupe.2G025100.2.p	Pav_sc0002387.1_g210.1.mk
Prupe.2G179300.1.p	Pav_sc0000254.1_g960.1.mk
Prupe.2G145100.1.p	Pav_sc0002998.1_g090.1.mk
Prupe.2G274000.1.p	Pav_sc0001102.1_g390.1.mk
Prupe.2G094800.1.p	Pav_sc0000689.1_g290.1.mk
Prupe.2G143000.1.p	Pav_sc0001746.1_g040.1.br
Prupe.2G131100.1.p	Pav_sc0000200.1_g510.1.mk
Prupe.2G006000.1.p	Pav_co4036973.1_g010.1.mk
Prupe.2G302900.1.p	Pav_sc0004357.1_g040.1.br
Prupe.2G045500.1.p	Pav_sc0001129.1_g070.1.mk
Prupe.2G128000.2.p	Pav_sc0004637.1_g020.1.mk
Prupe.2G060700.3.p	Pav_sc0000148.1_g360.1.mk
Prupe.2G267500.1.p	Pav_sc0001582.1_g060.1.mk
Prupe.2G066400.1.p	Pav_sc0001802.1_g130.1.mk
Prupe.2G019200.2.p	Pav_sc0001203.1_g140.1.mk
Prupe.2G258400.1.p	Pav_sc0001205.1_g100.1.mk
Prupe.2G230400.2.p	Pav_sc0000554.1_g1600.1.mk
Prupe.2G273300.1.p	Pav_sc0001102.1_g280.1.mk
Prupe.2G181700.1.p	Pav_sc0000254.1_g420.1.mk
Prupe.2G327500.1.p	Pav_sc0000636.1_g380.1.mk
Prupe.2G234700.1.p	Pav_sc0000554.1_g1020.1.mk
Prupe.2G108400.1.p	Pav_sc0000503.1_g630.1.mk
Prupe.2G192900.3.p	Pav_sc0000586.1_g580.1.mk
Prupe.2G313500.1.p	Pav_sc0000138.1_g1150.1.mk
Prupe.2G153100.1.p	Pav_sc0001673.1_g250.1.mk
Prupe.2G127400.1.p	Pav_sc0002118.1_g070.1.mk
Prupe.2G260000.1.p	Pav_sc0001205.1_g250.1.mk
Prupe.2G263900.1.p	Pav_sc0005746.1_g030.1.mk
Prupe.2G303100.1.p	Pav_sc0001405.1_g1760.1.mk
Prupe.2G079700.1.p	Pav_sc0008518.1_g070.1.mk
Prupe.2G043800.1.p	Pav_sc0002401.1_g360.1.mk
Prupe.2G141200.1.p	Pav_sc0003027.1_g030.1.mk
Prupe.2G289600.1.p	Pav_sc0001405.1_g520.1.mk
Prupe.2G217400.1.p	Pav_sc0000749.1_g170.1.mk
Prupe.2G162200.1.p	Pav_sc0000675.1_g410.1.mk
Prupe.2G047900.1.p	Pav_sc0000820.1_g020.1.mk
Prupe.2G318000.2.p	Pav_sc0000138.1_g730.1.mk
Prupe.2G286500.1.p	Pav_sc0001405.1_g220.1.br
Prupe.2G186600.1.p	Pav_sc0000591.1_g200.1.mk
Prupe.2G185500.1.p	Pav_sc0000591.1_g100.1.mk
Prupe.2G012000.1.p	Pav_sc0003708.1_g100.1.mk
Prupe.2G246600.1.p	Pav_sc0002574.1_g100.1.mk
Prupe.2G094300.1.p	Pav_sc0000702.1_g090.1.mk
Prupe.2G051600.5.p	Pav_sc0001147.1_g280.1.mk
Prupe.2G070600.1.p	Pav_sc0003267.1_g020.1.mk
Prupe.2G213300.1.p	Pav_sc0000084.1_g400.1.mk
Prupe.2G266900.1.p	Pav_sc0001582.1_g110.1.mk
Prupe.2G164300.2.p	Pav_sc0000675.1_g270.1.mk
Prupe.2G100100.1.p	Pav_sc0000314.1_g400.1.mk
Prupe.2G183700.2.p	Pav_sc0000254.1_g210.1.mk
Prupe.2G238400.1.p	Pav_sc0000554.1_g520.1.mk
Prupe.2G253600.1.p	Pav_sc0000143.1_g220.1.mk
Prupe.2G069700.1.p	Pav_sc0000123.1_g640.1.mk
Prupe.2G285300.1.p	Pav_sc0001405.1_g110.1.mk
Prupe.2G118300.1.p	Pav_sc0001059.1_g330.1.mk
Prupe.2G249500.1.p	Pav_sc0000143.1_g620.1.mk
Prupe.2G077100.1.p	Pav_sc0001595.1_g090.1.mk
Prupe.2G137400.1.p	Pav_sc0000026.1_g380.1.mk
Prupe.2G184100.1.p	Pav_sc0000254.1_g140.1.mk
Prupe.2G017800.1.p	Pav_sc0001203.1_g050.1.mk
Prupe.2G314500.2.p	Pav_sc0000138.1_g1070.1.mk
Prupe.2G283800.2.p	Pav_sc0001405.1_g010.1.mk
Prupe.2G167900.1.p	Pav_sc0000102.1_g620.1.mk
Prupe.2G041300.1.p	Pav_sc0001109.1_g050.1.mk
Prupe.2G182800.6.p	Pav_sc0009030.1_g070.1.mk
Prupe.2G134100.1.p	Pav_sc0001369.1_g110.1.br
Prupe.2G029500.4.p	Pav_sc0003033.1_g030.1.mk
Prupe.2G260100.1.p	Pav_sc0001205.1_g270.1.mk
Prupe.2G311700.1.p	Pav_sc0001335.1_g110.1.mk
Prupe.2G121000.1.p	Pav_sc0002118.1_g030.1.mk
Prupe.2G181200.1.p	Pav_sc0000254.1_g670.1.mk
Prupe.2G297500.1.p	Pav_sc0001405.1_g1220.1.mk
Prupe.2G328300.1.p	Pav_sc0000636.1_g450.1.mk
Prupe.2G221200.2.p	Pav_sc0002206.1_g320.1.mk
Prupe.2G020100.1.p	Pav_sc0003905.1_g050.1.mk
Prupe.2G307000.1.p	Pav_sc0001335.1_g590.1.mk
Prupe.2G241800.1.p	Pav_sc0000554.1_g200.1.mk
Prupe.2G048900.1.p	Pav_co4088633.1_g010.1.br
Prupe.2G014400.1.p	Pav_sc0000882.1_g150.1.mk
Prupe.2G080100.1.p	Pav_sc0001301.1_g070.1.mk
Prupe.2G301200.1.p	Pav_sc0001405.1_g1530.1.mk
Prupe.2G293300.1.p	Pav_sc0001405.1_g870.1.mk
Prupe.2G195800.1.p	Pav_sc0000586.1_g930.1.mk
Prupe.2G271800.1.p	Pav_sc0000349.1_g020.1.mk
Prupe.2G015300.1.p	Pav_sc0001098.1_g030.1.mk
Prupe.2G237000.1.p	Pav_sc0000554.1_g630.1.mk
Prupe.2G026400.1.p	Pav_sc0000507.1_g070.1.mk
Prupe.2G324100.1.p	Pav_sc0000138.1_g090.1.mk
Prupe.2G097900.1.p	Pav_sc0000702.1_g520.1.mk
Prupe.2G136200.1.p	Pav_sc0000026.1_g110.1.mk
Prupe.2G202500.1.p	Pav_sc0001046.1_g660.1.mk
Prupe.2G228000.1.p	Pav_sc0000554.1_g1880.1.mk
Prupe.2G176300.1.p	Pav_sc0000254.1_g1210.1.mk
Prupe.2G241700.1.p	Pav_sc0000554.1_g210.1.mk
Prupe.2G302200.1.p	Pav_sc0001405.1_g1660.1.mk
Prupe.2G118600.2.p	Pav_sc0001059.1_g390.1.mk
Prupe.2G187000.1.p	Pav_sc0000591.1_g230.1.mk
Prupe.2G215500.1.p	Pav_sc0000084.1_g090.1.mk
Prupe.2G209300.1.p	Pav_sc0002968.1_g120.1.mk
Prupe.2G149800.1.p	Pav_sc0000072.1_g530.1.mk
Prupe.2G004400.1.p	Pav_sc0000305.1_g150.1.mk
Prupe.2G309200.2.p	Pav_sc0001335.1_g370.1.mk
Prupe.2G147900.1.p	Pav_sc0000502.1_g210.1.br
Prupe.2G236900.2.p	Pav_sc0000554.1_g650.1.mk
Prupe.2G200300.1.p	Pav_sc0001046.1_g450.1.mk
Prupe.2G249200.4.p	Pav_sc0000143.1_g640.1.mk
Prupe.2G264100.1.p	Pav_sc0001582.1_g420.1.mk
Prupe.2G158100.3.p	Pav_sc0000675.1_g930.1.mk
Prupe.2G026000.2.p	Pav_sc0000507.1_g030.1.mk
Prupe.2G237600.1.p	Pav_sc0000554.1_g590.1.mk
Prupe.2G104200.1.p	Pav_sc0000012.1_g120.1.mk
Prupe.2G109300.1.p	Pav_sc0000503.1_g780.1.mk
Prupe.2G329300.1.p	Pav_sc0000636.1_g590.1.mk
Prupe.2G106600.1.p	Pav_sc0000503.1_g180.1.mk
Prupe.2G036500.2.p	Pav_sc0001141.1_g220.1.mk
Prupe.2G156300.1.p	Pav_sc0000675.1_g1290.1.mk
Prupe.2G111900.1.p	Pav_sc0000582.1_g080.1.br
Prupe.2G198700.2.p	Pav_sc0001046.1_g260.1.mk
Prupe.2G241100.1.p	Pav_sc0000554.1_g260.1.mk
Prupe.2G010100.1.p	Pav_sc0001065.1_g190.1.mk
Prupe.2G111500.2.p	Pav_sc0000582.1_g130.1.mk
Prupe.2G324900.1.p	Pav_sc0000138.1_g010.1.mk
Prupe.2G216000.5.p	Pav_sc0000084.1_g050.1.mk
Prupe.2G251400.1.p	Pav_sc0000143.1_g470.1.mk
Prupe.2G167500.1.p	Pav_sc0000102.1_g670.1.br
Prupe.2G051700.1.p	Pav_sc0001147.1_g190.1.mk
Prupe.2G325900.1.p	Pav_sc0000636.1_g220.1.mk
Prupe.2G144400.1.p	Pav_sc0000017.1_g010.1.mk
Prupe.2G188300.1.p	Pav_sc0000591.1_g440.1.mk
Prupe.2G056700.1.p	Pav_sc0000593.1_g010.1.mk
Prupe.2G086600.1.p	Pav_sc0006637.1_g020.1.mk
Prupe.2G328100.1.p	Pav_sc0000636.1_g430.1.mk
Prupe.2G184400.1.p	Pav_sc0000254.1_g120.1.mk
Prupe.2G272500.1.p	Pav_sc0001102.1_g230.1.mk
Prupe.2G301400.4.p	Pav_sc0001405.1_g1550.1.mk
Prupe.2G052600.2.p	Pav_sc0001147.1_g110.1.mk
Prupe.2G110400.1.p	Pav_sc0000503.1_g910.1.mk
Prupe.2G002500.1.p	Pav_sc0000649.1_g120.1.mk
Prupe.2G029600.1.p	Pav_sc0003033.1_g010.1.mk
Prupe.2G017300.1.p	Pav_sc0002024.1_g040.1.mk
Prupe.2G307900.1.p	Pav_sc0001335.1_g530.1.mk
Prupe.2G289000.1.p	Pav_sc0001405.1_g460.1.mk
Prupe.2G127300.1.p	Pav_sc0002118.1_g060.1.mk
Prupe.2G264600.1.p	Pav_sc0001582.1_g360.1.mk
Prupe.2G085400.1.p	Pav_sc0002618.1_g040.1.mk
Prupe.2G230800.1.p	Pav_sc0000554.1_g1550.1.mk
Prupe.2G288600.1.p	Pav_sc0001405.1_g420.1.mk
Prupe.2G143200.2.p	Pav_sc0000017.1_g170.1.mk
Prupe.2G204700.1.p	Pav_sc0001183.1_g180.1.mk
Prupe.2G255100.2.p	Pav_sc0000143.1_g040.1.mk
Prupe.2G075200.1.p	Pav_sc0000535.1_g130.1.mk
Prupe.2G042700.2.p	Pav_sc0003946.1_g050.1.mk
Prupe.2G274800.5.p	Pav_sc0001102.1_g470.1.mk
Prupe.2G264000.1.p	Pav_sc0001582.1_g430.1.mk
Prupe.2G069500.1.p	Pav_sc0001141.1_g180.1.mk
Prupe.2G292600.2.p	Pav_sc0001405.1_g810.1.mk
Prupe.2G013500.1.p	Pav_sc0004348.1_g250.1.mk
Prupe.2G088900.1.p	Pav_sc0003927.1_g010.1.br
Prupe.2G173500.1.p	Pav_sc0000254.1_g1480.1.mk
Prupe.2G280000.1.p	Pav_sc0001102.1_g940.1.mk
Prupe.2G290100.3.p	Pav_sc0001405.1_g550.1.mk
Prupe.2G024200.2.p	Pav_sc0006402.1_g120.1.mk
Prupe.2G097500.1.p	Pav_sc0000702.1_g420.1.mk
Prupe.2G198900.1.p	Pav_sc0002319.1_g100.1.mk
Prupe.2G217800.1.p	Pav_sc0000749.1_g120.1.mk
Prupe.2G139600.1.p	Pav_sc0004531.1_g050.1.br
Prupe.2G196000.1.p	Pav_sc0000586.1_g950.1.mk
Prupe.2G046400.2.p	Pav_sc0000501.1_g190.1.mk
Prupe.2G216200.1.p	Pav_sc0000084.1_g040.1.mk
Prupe.2G030700.1.p	Pav_sc0001547.1_g090.1.mk
Prupe.2G312300.1.p	Pav_sc0001335.1_g050.1.mk
Prupe.2G042200.1.p	Pav_sc0001109.1_g160.1.mk
Prupe.2G327000.1.p	Pav_sc0000636.1_g330.1.mk
Prupe.2G281100.1.p	Pav_sc0000293.1_g500.1.br
Prupe.2G073600.1.p	Pav_sc0003054.1_g240.1.mk
Prupe.2G114200.1.p	Pav_sc0000739.1_g030.1.br
Prupe.2G309300.1.p	Pav_sc0001335.1_g360.1.mk
Prupe.2G168200.1.p	Pav_sc0000102.1_g600.1.mk
Prupe.2G264300.1.p	Pav_sc0001582.1_g390.1.mk
Prupe.2G217000.1.p	Pav_sc0000749.1_g250.1.mk
Prupe.2G091000.1.p	Pav_sc0000591.1_g350.1.br
Prupe.2G151000.1.p	Pav_sc0000072.1_g670.1.mk
Prupe.2G305800.2.p	Pav_sc0001405.1_g2050.1.mk
Prupe.2G270300.1.p	Pav_sc0001576.1_g200.1.mk
Prupe.2G018300.1.p	Pav_sc0003604.1_g020.1.mk
Prupe.2G269800.1.p	Pav_sc0001576.1_g170.1.mk
Prupe.2G076900.2.p	Pav_sc0002386.1_g010.1.mk
Prupe.2G127800.1.p	Pav_sc0003473.1_g010.1.mk
Prupe.2G204600.1.p	Pav_sc0001183.1_g170.1.mk
Prupe.2G226900.1.p	Pav_sc0000554.1_g2040.1.mk
Prupe.2G298600.1.p	Pav_sc0001405.1_g1300.1.mk
Prupe.2G097800.1.p	Pav_sc0000702.1_g470.1.mk
Prupe.2G218500.1.p	Pav_sc0000749.1_g030.1.mk
Prupe.2G211800.1.p	Pav_sc0000084.1_g560.1.mk
Prupe.2G028200.3.p	Pav_sc0000304.1_g090.1.mk
Prupe.2G203200.1.p	Pav_sc0001183.1_g050.1.mk
Prupe.2G265000.1.p	Pav_sc0001582.1_g320.1.mk
Prupe.2G197200.1.p	Pav_sc0001046.1_g060.1.mk
Prupe.2G067300.1.p	Pav_sc0000283.1_g580.1.mk
Prupe.2G252700.1.p	Pav_sc0000143.1_g310.1.mk
Prupe.2G202800.1.p	Pav_sc0001183.1_g020.1.br
Prupe.2G293900.1.p	Pav_sc0001405.1_g930.1.mk
Prupe.2G247700.1.p	Pav_sc0002574.1_g210.1.mk
Prupe.2G060200.1.p	Pav_sc0000148.1_g270.1.mk
Prupe.2G142200.1.p	Pav_sc0002148.1_g130.1.mk
Prupe.2G270600.2.p	Pav_sc0001576.1_g220.1.mk
Prupe.2G156700.1.p	Pav_sc0000675.1_g1230.1.mk
Prupe.2G015500.1.p	Pav_sc0002817.1_g090.1.br
Prupe.2G233900.1.p	Pav_sc0000554.1_g1240.1.mk
Prupe.2G073000.1.p	Pav_sc0003054.1_g090.1.mk
Prupe.2G044500.12.p	Pav_sc0002125.1_g080.1.mk
Prupe.2G261900.1.p	Pav_sc0001205.1_g430.1.mk
Prupe.2G056800.2.p	Pav_sc0001836.1_g030.1.mk
Prupe.2G245400.2.p	Pav_sc0000979.1_g040.1.mk
Prupe.2G179500.1.p	Pav_sc0000254.1_g940.1.mk
Prupe.2G108800.2.p	Pav_sc0000503.1_g730.1.mk
Prupe.2G040200.1.p	Pav_sc0000170.1_g250.1.mk
Prupe.2G036200.1.p	Pav_sc0001141.1_g270.1.mk
Prupe.2G012500.1.p	Pav_sc0003708.1_g050.1.mk
Prupe.2G117500.1.p	Pav_sc0001059.1_g070.1.mk
Prupe.2G219200.2.p	Pav_sc0000789.1_g070.1.mk
Prupe.2G027600.1.p	Pav_sc0000304.1_g220.1.mk
