transcript_id,D7-1,D7-2,D7-3,T3-1,T3-2,T3-3
Prupe.2G251800.1_v2.0.a1,0,2,0,0,0,0
Prupe.1G134300.1_v2.0.a1,0,0,0,0,0,5
Prupe.7G005000.5_v2.0.a1,1,0,0,288,394,1
Prupe.5G123200.1_v2.0.a1,5620,3171,3552,3224,3718,1651
Prupe.3G096700.1_v2.0.a1,29,17,11,61,57,35
Prupe.4G188500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G559700.4_v2.0.a1,4,10,3,3,5,1
Prupe.8G214900.1_v2.0.a1,212,552,146,236,258,127
Prupe.4G281500.9_v2.0.a1,35,0,0,1,2,0
MSTRG.3476.1,32,16,11,87,124,58
Prupe.2G286600.1_v2.0.a1,29,11,25,90,101,53
Prupe.8G059400.1_v2.0.a1,116,77,75,64,75,29
Prupe.1G263700.3_v2.0.a1,132,89,0,37,0,0
Prupe.1G512600.1_v2.0.a1,403,292,312,605,836,353
Prupe.6G033300.2_v2.0.a1,0,0,0,0,0,0
Prupe.7G125400.1_v2.0.a1,665,471,423,326,358,160
Prupe.1G523600.1_v2.0.a1,3344,1756,2057,6879,7841,3452
Prupe.2G225700.1_v2.0.a1,0,0,0,13,22,0
Prupe.6G291500.1_v2.0.a1,3,0,7,0,0,0
Prupe.3G211600.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G262700.5_v2.0.a1,65,31,39,126,39,51
Prupe.7G115200.1_v2.0.a1,243,137,135,72,86,43
Prupe.8G172700.1_v2.0.a1,158,130,189,83,81,66
Prupe.2G260600.1_v2.0.a1,392,303,312,114,143,95
MSTRG.18937.2,0,3,0,18,46,52
Prupe.1G094200.4_v2.0.a1,0,0,0,0,0,0
Prupe.2G029800.2_v2.0.a1,0,0,0,0,0,0
Prupe.2G044000.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G004300.1_v2.0.a1,0,0,0,8,4,0
Prupe.4G072800.1_v2.0.a1,12,5,16,17,33,11
Prupe.3G256700.1_v2.0.a1,379,229,238,787,1028,391
Prupe.6G326200.2_v2.0.a1,0,0,19,32,12,10
Prupe.1G332300.5_v2.0.a1,0,0,0,0,0,0
Prupe.8G059100.1_v2.0.a1,0,0,0,6,2,1
Prupe.4G051800.2_v2.0.a1,78,90,65,147,397,161
MSTRG.18113.3,0,0,73,0,0,0
Prupe.2G127100.1_v2.0.a1,7,0,0,0,7,0
Prupe.7G209300.2_v2.0.a1,0,201,0,0,0,0
Prupe.6G010000.1_v2.0.a1,364,200,253,581,554,285
Prupe.4G028100.2_v2.0.a1,0,0,0,0,0,0
Prupe.8G228100.3_v2.0.a1,0,0,0,0,0,0
MSTRG.1557.2,49,21,21,23,28,30
Prupe.6G181400.4_v2.0.a1,0,0,0,0,0,0
Prupe.4G267000.3_v2.0.a1,185,240,0,0,0,0
Prupe.8G049600.3_v2.0.a1,30,15,20,495,54,132
MSTRG.4288.2,0,0,101,0,0,0
Prupe.6G220900.1_v2.0.a1,679,501,533,1444,1581,727
Prupe.6G099500.3_v2.0.a1,0,0,0,163,48,21
Prupe.7G075600.1_v2.0.a1,0,13,2,0,0,0
Prupe.2G247900.3_v2.0.a1,7,26,2,9,17,13
Prupe.1G011300.2_v2.0.a1,0,0,0,41,291,32
Prupe.4G084400.1_v2.0.a1,424,270,308,444,523,239
Prupe.3G304900.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G316000.1_v2.0.a1,115,73,86,357,584,280
Prupe.6G138900.1_v2.0.a1,308,139,181,355,415,167
Prupe.3G293400.4_v2.0.a1,568,449,530,878,842,414
Prupe.1G260200.1_v2.0.a1,0,0,0,0,0,0
MSTRG.3802.1,48,26,29,43,47,33
MSTRG.14469.4,24,1,0,41,52,30
Prupe.3G013200.2_v2.0.a1,139,150,36,64,65,18
MSTRG.14469.3,0,29,9,165,148,80
MSTRG.3802.6,59,60,65,40,55,27
MSTRG.14469.1,143,113,102,141,179,35
MSTRG.20049.1,134,75,103,143,171,68
Prupe.2G160100.4_v2.0.a1,1,1,0,1,1,1
Prupe.3G011000.2_v2.0.a1,670,370,293,949,1132,534
Prupe.2G151500.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G244800.6_v2.0.a1,0,0,0,0,0,0
Prupe.1G501100.1_v2.0.a1,29,28,0,20,22,6
Prupe.2G054300.1_v2.0.a1,348,220,216,413,389,115
Prupe.2G031800.1_v2.0.a1,550,355,372,0,0,0
Prupe.2G156300.2_v2.0.a1,1307,1063,1046,2221,2441,848
Prupe.6G292600.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G335400.4_v2.0.a1,149,99,182,215,85,104
Prupe.7G258100.1_v2.0.a1,0,0,0,0,3,2
Prupe.2G248200.1_v2.0.a1,1231,802,343,1476,1870,752
Prupe.1G552600.1_v2.0.a1,6,2,5,0,0,0
MSTRG.13535.1,103,93,64,138,89,50
Prupe.7G065400.1_v2.0.a1,30,22,12,73,63,31
Prupe.7G005500.1_v2.0.a1,0,0,0,14,26,9
Prupe.2G119600.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G069300.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G493300.2_v2.0.a1,2,123,83,60,34,0
Prupe.1G582800.9_v2.0.a1,0,0,0,0,0,0
MSTRG.18355.3,0,0,0,1,0,58
MSTRG.19364.2,0,111,0,0,116,0
Prupe.1G407200.1_v2.0.a1,0,1,0,0,0,0
Prupe.8G126500.6_v2.0.a1,0,0,0,40,85,39
MSTRG.18904.2,73,56,19,20,19,42
Prupe.7G040100.1_v2.0.a1,0,0,0,43,73,31
Prupe.4G265900.1_v2.0.a1,0,0,0,3,0,5
Prupe.1G323300.2_v2.0.a1,27,0,29,8,43,48
Prupe.6G060300.1_v2.0.a1,675,392,393,38,24,17
Prupe.5G025300.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G412400.6_v2.0.a1,0,0,0,0,0,0
Prupe.7G212500.2_v2.0.a1,81,42,41,107,47,24
Prupe.1G156000.2_v2.0.a1,386,203,269,402,491,221
Prupe.2G122400.3_v2.0.a1,49,0,17,14,35,31
MSTRG.9764.8,0,143,0,3,0,0
Prupe.8G162400.1_v2.0.a1,314,217,212,1188,1370,584
Prupe.2G014600.1_v2.0.a1,0,2,7,0,0,0
Prupe.1G400400.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G018700.1_v2.0.a1,188,216,207,39,49,0
Prupe.6G106500.7_v2.0.a1,0,0,0,0,0,0
MSTRG.6392.1,252,57,253,241,297,133
Prupe.1G431700.1_v2.0.a1,65,350,380,687,268,388
Prupe.1G586100.2_v2.0.a1,0,0,0,0,0,108
Prupe.4G061700.1_v2.0.a1,50,30,37,212,254,152
Prupe.6G232900.1_v2.0.a1,490,356,417,1134,845,456
Prupe.3G040300.1_v2.0.a1,15,11,14,16,35,17
Prupe.6G035300.1_v2.0.a1,300,208,165,857,951,491
Prupe.1G559200.1_v2.0.a1,394,305,326,690,1033,465
Prupe.8G036700.5_v2.0.a1,0,0,0,0,0,0
MSTRG.336.2,0,43,30,137,83,18
Prupe.2G197700.1_v2.0.a1,5686,3542,3694,4514,5314,2242
Prupe.4G271100.1_v2.0.a1,789,590,549,1790,2069,900
Prupe.4G138300.1_v2.0.a1,2,0,0,272,339,167
Prupe.3G195700.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G018800.5_v2.0.a1,0,172,89,0,0,0
Prupe.3G002600.1_v2.0.a1,147,103,100,299,516,200
Prupe.6G138200.6_v2.0.a1,0,0,0,19,50,2
MSTRG.14203.1,0,3,2,31,101,45
Prupe.4G050100.1_v2.0.a1,0,0,0,4,6,0
Prupe.8G061800.2_v2.0.a1,462,293,314,564,793,301
Prupe.3G170600.1_v2.0.a1,2071,796,1113,2406,2071,722
Prupe.3G282100.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G249300.3_v2.0.a1,0,0,0,0,0,0
Prupe.3G014900.2_v2.0.a1,0,0,0,35,79,0
Prupe.7G061300.1_v2.0.a1,714,449,485,847,911,439
Prupe.4G023600.2_v2.0.a1,50,2,0,16,19,18
Prupe.1G132800.1_v2.0.a1,1361,920,950,1939,2492,985
Prupe.6G103300.1_v2.0.a1,0,5,0,197,283,119
Prupe.3G181800.1_v2.0.a1,0,4,0,0,0,0
Prupe.4G150400.4_v2.0.a1,0,0,58,300,361,0
Prupe.3G001500.1_v2.0.a1,544,308,335,803,1147,513
Prupe.1G361700.1_v2.0.a1,144,119,103,0,0,0
Prupe.7G257800.1_v2.0.a1,30,0,0,14,30,0
MSTRG.11314.4,0,0,37,292,145,0
MSTRG.11314.5,0,0,387,194,29,0
Prupe.5G207700.9_v2.0.a1,0,0,0,0,4,8
Prupe.7G074700.6_v2.0.a1,0,0,0,0,0,0
Prupe.1G530900.8_v2.0.a1,10,0,0,11,13,16
Prupe.5G180000.1_v2.0.a1,87,54,58,477,409,197
Prupe.8G086300.2_v2.0.a1,0,154,127,254,352,106
Prupe.4G143900.1_v2.0.a1,134,90,88,294,322,139
Prupe.4G006700.1_v2.0.a1,313,185,175,401,383,160
Prupe.8G097200.3_v2.0.a1,7,8,5,14,40,0
Prupe.1G008300.6_v2.0.a1,9,0,47,0,42,4
Prupe.8G110900.1_v2.0.a1,79,33,66,1003,1285,485
Prupe.1G317800.1_v2.0.a1,13,59,82,45,155,26
Prupe.4G265200.3_v2.0.a1,22,49,32,32,26,17
Prupe.8G261800.1_v2.0.a1,137,108,97,236,286,125
Prupe.4G193200.1_v2.0.a1,13,8,9,20,20,0
MSTRG.8067.1,16,0,16,8,0,21
Prupe.5G071800.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G017400.1_v2.0.a1,49,42,35,606,716,296
Prupe.7G218400.1_v2.0.a1,331,205,205,396,569,202
Prupe.3G204100.1_v2.0.a1,38,18,20,0,0,0
Prupe.7G223500.5_v2.0.a1,0,0,0,0,46,0
Prupe.1G585000.1_v2.0.a1,305,111,155,619,689,337
Prupe.1G039100.1_v2.0.a1,15827,9060,9898,39458,45689,19184
Prupe.3G206000.1_v2.0.a1,0,0,4,85,22,6
Prupe.8G166800.2_v2.0.a1,0,71,0,173,279,68
Prupe.8G203000.1_v2.0.a1,2,2,5,5,4,2
Prupe.7G117700.2_v2.0.a1,0,0,0,0,0,0
MSTRG.18421.1,25,32,17,8,10,7
MSTRG.4954.1,31,13,14,34,57,14
Prupe.1G016200.1_v2.0.a1,22,16,28,62,45,14
Prupe.6G037300.4_v2.0.a1,0,0,5,0,0,0
Prupe.7G026500.3_v2.0.a1,0,0,0,21,0,0
Prupe.5G151800.1_v2.0.a1,1,2,4,12,6,5
Prupe.4G234500.1_v2.0.a1,67,45,46,148,185,67
Prupe.4G079500.2_v2.0.a1,0,0,19,76,135,0
Prupe.1G571400.2_v2.0.a1,302,50,207,109,240,52
Prupe.2G189600.18_v2.0.a1,0,0,0,0,9,0
Prupe.6G145200.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G272200.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G140100.1_v2.0.a1,5154,3387,3557,1513,1917,832
MSTRG.6996.1,51,17,18,43,52,22
Prupe.4G222500.1_v2.0.a1,0,2,0,0,0,0
Prupe.8G101900.1_v2.0.a1,314,203,226,579,674,259
Prupe.1G113800.1_v2.0.a1,117,57,63,138,101,51
Prupe.6G192100.1_v2.0.a1,1323,955,921,2350,2730,1322
Prupe.3G116000.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G049200.2_v2.0.a1,0,0,0,5,3,0
Prupe.1G022200.2_v2.0.a1,0,0,0,0,0,0
MSTRG.8077.1,787,43,486,56,818,259
MSTRG.8077.3,15,36,0,293,231,203
MSTRG.8077.2,0,0,0,0,111,184
Prupe.7G266000.2_v2.0.a1,8,0,0,0,1,0
Prupe.8G051400.1_v2.0.a1,66,2,26,122,86,70
Prupe.1G215100.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G223500.3_v2.0.a1,0,0,45,17,50,0
Prupe.8G023200.1_v2.0.a1,31,19,16,46,19,16
Prupe.3G129300.1_v2.0.a1,299,119,142,551,583,206
Prupe.1G172400.1_v2.0.a1,19,13,18,240,283,110
Prupe.7G066100.9_v2.0.a1,0,0,0,0,0,0
MSTRG.12502.5,578,331,320,636,706,267
Prupe.3G246400.1_v2.0.a1,20,0,24,50,49,0
Prupe.3G316000.21_v2.0.a1,15,0,6,0,8,0
Prupe.5G030000.2_v2.0.a1,6,29,33,2270,2618,1176
MSTRG.12502.1,330,185,198,552,578,285
Prupe.2G114500.1_v2.0.a1,4,3,3,0,0,3
MSTRG.12502.3,19,12,1,53,48,19
MSTRG.2950.6,0,0,0,68,0,0
Prupe.1G199400.1_v2.0.a1,0,0,0,0,0,0
MSTRG.8838.2,25,28,17,75,158,103
Prupe.4G254100.2_v2.0.a1,0,2,3,18,20,18
Prupe.1G383500.1_v2.0.a1,73,57,53,363,417,216
Prupe.5G065300.1_v2.0.a1,296,214,209,61,62,27
Prupe.2G182100.4_v2.0.a1,7,0,7,0,4,3
Prupe.1G198700.5_v2.0.a1,4,19,6,1,2,63
MSTRG.6786.1,97,48,68,236,257,116
Prupe.7G185200.1_v2.0.a1,402,241,221,68,54,29
Prupe.1G340700.1_v2.0.a1,0,0,0,0,0,0
Prupe.7G073800.2_v2.0.a1,0,0,0,0,0,0
Prupe.1G145100.1_v2.0.a1,32,39,24,17,30,12
Prupe.6G258800.1_v2.0.a1,12,12,16,40,69,23
Prupe.6G251500.1_v2.0.a1,1879,1202,1290,1964,2428,981
Prupe.4G024700.1_v2.0.a1,1176,701,709,2358,2629,1090
Prupe.5G136500.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G056300.2_v2.0.a1,28,0,38,86,138,117
Prupe.5G063600.1_v2.0.a1,12,0,7,15,11,9
Prupe.2G206000.2_v2.0.a1,9,28,1,66,72,33
MSTRG.9813.3,20,2,44,299,465,247
MSTRG.9813.4,185,140,105,176,229,134
MSTRG.9813.5,39,109,273,15,8,5
Prupe.7G035100.2_v2.0.a1,23,7,16,34,36,15
Prupe.3G023200.1_v2.0.a1,791,429,365,1091,1313,583
Prupe.8G138500.1_v2.0.a1,0,0,0,4,12,9
MSTRG.10486.4,0,4,0,0,1,0
Prupe.8G065200.1_v2.0.a1,1687,1032,1066,1977,2284,1041
MSTRG.4964.1,196,77,120,881,961,378
MSTRG.6946.1,64,27,27,56,34,16
Prupe.1G432400.1_v2.0.a1,94,124,156,3658,4338,1808
Prupe.6G302800.1_v2.0.a1,91,37,44,103,146,75
Prupe.8G051900.1_v2.0.a1,676,385,407,1154,1431,567
Prupe.1G483800.15_v2.0.a1,0,31,11,162,0,121
MSTRG.14334.3,0,0,0,86,25,6
MSTRG.14334.1,0,0,0,127,123,67
Prupe.7G130100.1_v2.0.a1,23,19,11,237,269,111
Prupe.1G433000.2_v2.0.a1,0,0,0,47,0,50
Prupe.2G117200.3_v2.0.a1,0,0,0,0,0,0
MSTRG.9097.4,10,0,66,0,0,0
Prupe.2G009100.1_v2.0.a1,663,549,309,682,753,208
Prupe.6G091400.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G544200.4_v2.0.a1,0,0,0,0,0,0
Prupe.5G217300.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G163100.3_v2.0.a1,0,0,0,0,0,0
Prupe.7G220700.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G246200.18_v2.0.a1,0,0,0,33,19,0
Prupe.8G136600.1_v2.0.a1,5,3,0,7,2,0
Prupe.5G193700.5_v2.0.a1,2,0,1,14,0,0
Prupe.5G033700.1_v2.0.a1,103,0,40,101,42,60
Prupe.2G147400.4_v2.0.a1,605,383,241,800,1118,339
Prupe.5G102100.6_v2.0.a1,0,0,0,0,0,0
Prupe.7G066400.3_v2.0.a1,0,0,0,0,0,0
Prupe.2G088400.1_v2.0.a1,0,21,35,14,0,8
MSTRG.3755.1,63,454,32,591,1003,238
Prupe.1G104400.1_v2.0.a1,9,119,0,0,88,34
Prupe.1G531000.1_v2.0.a1,1473,933,1101,2052,2332,1084
Prupe.6G364000.3_v2.0.a1,0,0,0,0,0,0
Prupe.1G158800.5_v2.0.a1,0,0,0,0,4,18
Prupe.7G023400.37_v2.0.a1,0,0,0,0,0,0
Prupe.6G213500.1_v2.0.a1,317,251,320,430,580,293
Prupe.4G204600.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G141100.1_v2.0.a1,892,705,553,10638,13467,5780
Prupe.7G264300.17_v2.0.a1,0,0,0,0,0,0
Prupe.1G347800.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G181400.1_v2.0.a1,0,0,0,0,0,3
MSTRG.4408.5,0,0,189,0,0,0
MSTRG.8.4,7,5,5,101,116,56
MSTRG.4915.5,0,0,0,372,0,0
Prupe.1G410900.1_v2.0.a1,255,121,144,196,209,100
Prupe.6G000900.2_v2.0.a1,0,0,0,348,0,703
Prupe.6G157500.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G293100.2_v2.0.a1,0,0,0,0,8,0
MSTRG.8300.1,0,0,147,164,50,0
Prupe.7G101800.1_v2.0.a1,63,32,42,160,173,57
Prupe.3G200500.3_v2.0.a1,47,16,13,23,0,8
Prupe.5G070600.2_v2.0.a1,0,0,0,0,0,0
Prupe.6G321300.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G065400.2_v2.0.a1,1,0,0,0,3,0
Prupe.1G459000.5_v2.0.a1,0,0,0,0,69,0
Prupe.8G187400.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G113800.2_v2.0.a1,0,0,0,9,41,23
Prupe.3G270100.5_v2.0.a1,0,23,0,0,15,8
Prupe.5G208700.3_v2.0.a1,10,0,19,86,88,31
Prupe.1G326400.1_v2.0.a1,1174,671,778,6803,8207,3676
Prupe.3G228800.1_v2.0.a1,55,42,30,8,17,16
Prupe.1G317100.7_v2.0.a1,0,0,0,0,4,0
Prupe.5G046800.2_v2.0.a1,108,42,37,90,105,47
MSTRG.17630.1,19,17,2,356,136,72
Prupe.3G118000.2_v2.0.a1,251,125,234,362,435,228
Prupe.6G338200.1_v2.0.a1,33,12,18,19,19,5
Prupe.7G009200.2_v2.0.a1,265,2838,944,518,425,292
Prupe.8G035200.6_v2.0.a1,0,0,34,0,0,91
Prupe.8G095300.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G058400.3_v2.0.a1,520,366,85,686,680,288
Prupe.4G203000.1_v2.0.a1,3,0,0,5,7,3
Prupe.8G198500.1_v2.0.a1,2,5,6,44,40,18
Prupe.7G213100.2_v2.0.a1,12,0,6,8,3,4
Prupe.1G321900.10_v2.0.a1,12,26,10,16,15,0
Prupe.7G045800.1_v2.0.a1,31,17,12,0,13,2
Prupe.2G321600.1_v2.0.a1,101,68,72,134,183,97
Prupe.1G078300.1_v2.0.a1,0,22,74,0,0,3
MSTRG.15886.4,0,0,0,0,6,14
Prupe.7G091500.3_v2.0.a1,0,0,0,65,216,81
MSTRG.20066.2,38,13,9,0,0,0
MSTRG.7960.1,7,0,2,442,780,300
Prupe.6G177100.1_v2.0.a1,286,198,198,731,922,398
Prupe.6G351300.2_v2.0.a1,85,0,68,6,25,0
MSTRG.2104.1,571,398,335,1414,1036,710
Prupe.8G181100.1_v2.0.a1,1906,1198,1377,76,76,37
MSTRG.2495.3,0,27,0,53,35,0
Prupe.3G176400.1_v2.0.a1,75,52,50,34,51,23
Prupe.1G115400.1_v2.0.a1,0,0,0,0,0,0
Prupe.5G149200.1_v2.0.a1,503,382,335,840,975,387
Prupe.6G330700.1_v2.0.a1,230,181,216,134,484,98
Prupe.3G258700.1_v2.0.a1,1125,717,852,1451,1724,737
Prupe.4G243000.1_v2.0.a1,0,0,0,0,0,0
Prupe.1G330500.1_v2.0.a1,328,220,201,442,507,232
Prupe.3G027100.1_v2.0.a1,181,33,499,443,1468,689
Prupe.2G314800.1_v2.0.a1,495,312,205,666,551,383
Prupe.8G148000.2_v2.0.a1,18,14,10,0,0,0
Prupe.2G244400.1_v2.0.a1,1930,1221,1263,2953,3429,1437
Prupe.6G133100.1_v2.0.a1,0,2,0,0,0,0
Prupe.3G051500.8_v2.0.a1,0,0,0,0,605,0
Prupe.7G196400.1_v2.0.a1,0,0,8,0,10,114
Prupe.2G068100.1_v2.0.a1,0,0,0,0,0,0
Prupe.6G061200.1_v2.0.a1,0,0,0,0,0,0
Prupe.4G174400.1_v2.0.a1,34,32,12,53,54,44
Prupe.3G123200.1_v2.0.a1,1135,677,773,271,328,155
Prupe.3G189800.1_v2.0.a1,0,0,0,0,0,0
Prupe.8G098500.1_v2.0.a1,1001,710,630,1938,2196,1080
Prupe.4G216200.1_v2.0.a1,593,315,401,441,579,222
MSTRG.12789.3,4,0,0,438,145,22
MSTRG.12789.2,24,0,0,0,327,26
Prupe.1G080900.1_v2.0.a1,666,378,418,2062,2456,1035
Prupe.4G025600.4_v2.0.a1,5,8,0,0,2,0
MSTRG.15165.1,30,19,29,55,47,43
Prupe.1G492400.1_v2.0.a1,43,39,17,97,124,61
MSTRG.19502.1,74,83,49,302,313,0
MSTRG.19502.3,0,0,103,193,293,78
Prupe.7G209800.1_v2.0.a1,0,0,0,65,1966,20
MSTRG.19502.5,0,0,0,0,79,33
MSTRG.19502.4,0,0,0,0,0,427
Prupe.1G038400.1_v2.0.a1,2,0,0,4,0,0
Prupe.8G182600.1_v2.0.a1,463,298,263,1247,1557,743
Prupe.1G485700.2_v2.0.a1,0,12,0,76,252,0
Prupe.1G516400.3_v2.0.a1,18,16,4,16,50,74
Prupe.2G159800.1_v2.0.a1,427,302,319,568,636,272
Prupe.1G247200.2_v2.0.a1,0,112,155,827,1279,432
Prupe.7G250000.6_v2.0.a1,231,187,41,0,22,0
Prupe.6G263100.1_v2.0.a1,7,7,2,8,21,8
Prupe.5G152000.1_v2.0.a1,1413,851,822,879,1108,480
Prupe.2G185700.1_v2.0.a1,158,135,163,213,246,121
Prupe.7G248400.15_v2.0.a1,0,0,0,0,0,0
Prupe.2G118100.1_v2.0.a1,0,0,0,1,0,0
Prupe.3G186100.2_v2.0.a1,368,272,272,881,892,522
Prupe.1G331100.1_v2.0.a1,602,408,392,85,96,37
Prupe.5G094200.1_v2.0.a1,103,88,58,71,101,49
Prupe.3G053200.1_v2.0.a1,294,208,219,399,374,139
Prupe.7G064600.2_v2.0.a1,4,6,7,9,0,18
Prupe.1G164900.3_v2.0.a1,0,4,0,0,0,12
Prupe.3G127500.3_v2.0.a1,0,1,0,6,8,0
Prupe.8G169700.1_v2.0.a1,0,0,0,0,0,0
MSTRG.19340.1,21,5,47,91,46,530
Prupe.6G091300.6_v2.0.a1,0,0,0,0,0,0
Prupe.8G144100.1_v2.0.a1,347,188,240,120,146,64
Prupe.8G144000.1_v2.0.a1,121,77,0,182,229,84
Prupe.1G482500.1_v2.0.a1,381,259,281,79,101,50
Prupe.2G012600.1_v2.0.a1,55,65,3,167,0,0
Prupe.5G203300.1_v2.0.a1,2661,1875,1940,1726,2121,988
Prupe.7G207100.14_v2.0.a1,0,0,0,0,0,0
Prupe.2G004500.1_v2.0.a1,5,35,14,0,0,0
Prupe.3G126200.1_v2.0.a1,0,0,0,0,0,0
Prupe.3G015100.1_v2.0.a1,1598,1040,1143,2184,2312,1022
Prupe.1G150100.1_v2.0.a1,126,0,0,466,0,0
Prupe.4G105100.5_v2.0.a1,931,621,192,77,101,150
Prupe.1G174400.5_v2.0.a1,2,6,7,0,8,38
Prupe.1G314100.4_v2.0.a1,137,233,177,35,45,30
MSTRG.18256.4,0,23,127,141,142,0
Prupe.1G164600.1_v2.0.a1,6281,3870,3976,19229,23181,9723
Prupe.1G306300.1_v2.0.a1,1455,752,819,697,824,337
Prupe.2G199100.1_v2.0.a1,8,2,3,0,0,0
Prupe.1G340500.1_v2.0.a1,9,16,16,306,405,156
MSTRG.2184.1,341,295,179,366,462,192
Prupe.6G231600.3_v2.0.a1,517,335,351,561,451,250
Prupe.7G038600.2_v2.0.a1,75,16,69,7,11,0
Prupe.6G296300.11_v2.0.a1,97,0,95,25,28,86
Prupe.8G040600.3_v2.0.a1,0,0,0,377,0,0
