transcript_id,SRR5219267,SRR5219268,SRR5219269,SRR5219276,SRR5219277,SRR5219278
Pav_sc0000062.1_g530.1.mk,30,0,20,0,11,0
Pav_sc0000823.1_g380.1.br,0,0,0,0,0,0
Pav_sc0000652.1_g660.1.br,6,10,3,5,3,0
MSTRG.19394.2,112,121,112,124,69,166
Pav_sc0000030.1_g1030.1.mk,151,50,0,0,314,50
Pav_sc0000287.1_g1080.1.br,0,0,0,0,0,0
MSTRG.19394.1,5225,4723,4614,3911,4197,3589
MSTRG.23181.1,165,227,0,128,106,60
Pav_sc0000034.1_g490.1.br,0,0,0,0,0,0
Pav_sc0000326.1_g110.1.mk,10292,10346,9440,11025,10811,10376
MSTRG.18383.4,0,1236,0,0,0,0
Pav_sc0000243.1_g500.1.br,0,0,0,0,0,0
MSTRG.154.1,117,86,0,92,92,94
Pav_sc0000488.1_g690.1.mk,0,0,0,0,28,16
Pav_sc0000091.1_g060.1.br,0,0,0,0,0,0
MSTRG.9311.1,194,193,289,192,161,155
MSTRG.9311.2,123,114,39,0,0,0
Pav_sc0000738.1_g180.1.br,8,14,0,0,0,0
Pav_sc0000830.1_g500.1.br,0,0,0,0,0,0
MSTRG.24218.3,367,266,0,330,417,111
MSTRG.8147.2,84,38,509,430,511,410
Pav_sc0001030.1_g210.1.mk,0,0,0,0,0,0
Pav_sc0000203.1_g120.1.mk,731,734,714,1682,1176,809
Pav_sc0001808.1_g130.1.br,0,0,0,0,0,0
Pav_sc0000009.1_g1100.1.mk,0,8,20,19,13,5
MSTRG.18113.4,262,1578,239,149,163,48
Pav_sc0002474.1_g070.1.br,0,0,0,0,0,0
MSTRG.20162.1,10,20,43,5,5,27
Pav_sc0000376.1_g280.1.br,0,0,0,0,0,0
MSTRG.18113.2,4489,3122,3730,2801,2827,2371
MSTRG.18113.3,0,0,0,0,0,116
Pav_sc0000228.1_g050.1.br,0,0,0,0,0,0
Pav_sc0000359.1_g690.1.mk,2225,1443,2464,1392,1439,1421
MSTRG.14539.2,88,109,129,91,114,78
MSTRG.11658.1,390,500,278,304,203,108
Pav_sc0001338.1_g110.1.br,0,0,0,0,0,0
Pav_sc0001794.1_g470.1.br,1,0,0,2,1,1
MSTRG.17339.2,722,770,782,928,917,866
MSTRG.22695.2,171,111,0,31,0,118
Pav_sc0000877.1_g160.1.br,13,12,14,9,15,14
Pav_sc0001580.1_g120.1.mk,0,0,0,0,0,0
Pav_sc0000017.1_g1020.1.br,0,0,0,0,0,0
MSTRG.16758.3,2029,2507,2873,1561,2760,2522
MSTRG.16758.2,3452,2977,4283,2613,4068,2621
Pav_sc0000960.1_g080.1.mk,117,88,0,64,100,88
Pav_sc0001520.1_g060.1.br,0,0,0,0,0,0
Pav_sc0002236.1_g420.1.br,0,0,0,0,0,0
Pav_sc0000283.1_g260.1.br,0,0,0,0,0,0
Pav_sc0000174.1_g130.1.br,0,0,0,0,0,0
Pav_sc0000555.1_g260.1.mk,1359,1108,1261,220,289,150
Pav_sc0000040.1_g020.1.mk,11,5,2,6,8,1
MSTRG.21978.1,371,463,638,170,47,332
Pav_sc0000625.1_g240.1.br,1,0,0,0,0,0
MSTRG.1496.2,2769,2561,0,2016,2591,2113
MSTRG.16184.6,3171,2257,2202,1798,2379,1416
MSTRG.23635.2,8,56,0,215,189,106
Pav_sc0011670.1_g010.1.mk,307,314,0,3,3,168
Pav_sc0002273.1_g150.1.br,0,0,0,0,0,0
Pav_sc0009580.1_g040.1.br,0,0,0,0,0,0
Pav_sc0001323.1_g310.1.mk,1,3,5,0,3,0
Pav_sc0001381.1_g090.1.br,0,0,0,0,0,0
MSTRG.23394.2,904,396,0,0,471,411
MSTRG.22480.1,295,221,0,148,163,96
MSTRG.893.9,138,167,0,166,185,121
MSTRG.14469.2,1058,1543,1333,992,1183,545
Pav_sc0000148.1_g450.1.mk,0,0,0,0,0,0
Pav_sc0001159.1_g040.1.br,1,0,2,0,0,0
MSTRG.16184.7,78,138,68,48,45,17
Pav_sc0001129.1_g070.1.mk,1163,496,1309,455,583,796
MSTRG.1214.2,382,574,0,1030,746,424
Pav_sc0004359.1_g040.1.br,0,0,0,0,0,0
Pav_co4008027.1_g010.1.br,0,0,0,0,0,0
Pav_sc0002280.1_g470.1.br,0,0,0,0,0,0
Pav_sc0001991.1_g040.1.mk,0,0,0,0,0,0
Pav_sc0001044.1_g010.1.br,0,0,0,0,0,0
Pav_sc0002228.1_g140.1.mk,0,0,0,0,0,0
MSTRG.20825.1,1011,1002,792,745,640,590
MSTRG.23015.2,2830,0,0,592,0,0
MSTRG.20825.2,48,128,433,86,208,0
Pav_sc0001868.1_g010.1.br,0,0,0,0,0,0
Pav_sc0000467.1_g030.1.mk,0,0,0,0,0,0
MSTRG.2002.1,89,66,0,62,55,50
MSTRG.893.3,142,149,0,185,271,215
MSTRG.17567.4,127,207,109,137,122,227
MSTRG.17567.5,118,168,282,0,251,0
Pav_sc0001767.1_g110.1.mk,0,0,0,0,0,0
MSTRG.18184.2,1346,857,991,676,841,582
MSTRG.17567.2,1389,1426,1439,1149,1057,995
MSTRG.17567.3,1064,986,638,622,608,288
MSTRG.13535.1,47,30,44,16,6,24
Pav_sc0000263.1_g060.1.br,0,0,0,0,0,0
MSTRG.18184.3,1144,179,249,0,2572,0
MSTRG.18383.7,33,49,691,10,11,4
MSTRG.18184.4,0,432,0,2050,0,419
Pav_sc0000216.1_g970.1.br,0,0,0,0,1,0
Pav_sc0000480.1_g1140.1.mk,465,391,476,339,364,257
Pav_sc0000389.1_g220.1.br,0,0,0,0,0,0
MSTRG.19364.2,293,345,360,144,223,71
MSTRG.19364.1,334,292,323,177,134,205
Pav_sc0000405.1_g050.1.br,2,0,1,1,2,1
Pav_sc0001869.1_g1080.1.br,0,0,0,0,0,0
MSTRG.23621.4,213,176,0,67,9,139
MSTRG.23621.5,0,4,0,0,81,0
MSTRG.23621.2,0,139,0,0,0,0
Pav_sc0003258.1_g140.1.mk,0,0,0,0,0,0
MSTRG.13816.4,10,0,476,0,0,0
Pav_sc0001428.1_g160.1.mk,0,16,31,6,6,3
Pav_sc0001739.1_g060.1.br,1083,826,992,743,672,546
MSTRG.420.7,1,0,0,10,3,4
Pav_sc0000287.1_g1030.1.br,0,0,0,0,0,0
Pav_sc0001709.1_g200.1.mk,473,457,577,417,517,352
MSTRG.20043.4,98,385,65,281,214,29
Pav_sc0002441.1_g010.1.br,0,0,0,0,0,0
MSTRG.9391.5,33,28,16,19,14,0
MSTRG.9391.4,128,231,172,103,163,133
Pav_sc0002722.1_g030.1.mk,1694,1632,1821,9116,5343,2192
MSTRG.4143.1,362,319,0,257,338,211
MSTRG.9391.3,67,58,27,33,22,0
MSTRG.9391.2,282,210,252,103,243,116
MSTRG.5294.1,45,47,48,7,20,7
Pav_co4025161.1_g010.1.mk,801,646,0,476,540,458
Pav_sc0002479.1_g290.1.br,0,0,0,0,0,0
Pav_sc0012322.1_g010.1.mk,0,0,0,0,0,0
Pav_sc0000158.1_g130.1.mk,0,0,113,0,0,0
Pav_sc0005775.1_g040.1.br,0,0,0,0,0,0
Pav_sc0000910.1_g630.1.mk,10,7,13,4,14,12
Pav_sc0002280.1_g220.1.br,0,0,0,0,0,0
Pav_sc0000350.1_g910.1.br,0,0,0,0,0,0
Pav_sc0000095.1_g100.1.br,24,6,9,6,7,2
MSTRG.11900.2,74,172,221,120,85,146
Pav_co4016487.1_g010.1.mk,0,0,0,0,0,0
MSTRG.22687.3,355,290,0,208,293,246
MSTRG.22687.2,391,358,0,333,421,298
Pav_sc0001239.1_g120.1.mk,0,0,0,0,0,0
MSTRG.2263.1,171,119,0,162,185,140
Pav_sc0000877.1_g1670.1.mk,0,0,0,0,0,0
Pav_sc0005937.1_g040.1.br,0,0,0,0,0,0
Pav_sc0001365.1_g020.1.br,0,0,0,213,0,0
MSTRG.22706.3,741,996,0,523,93,302
MSTRG.22706.2,1663,1477,0,1520,2137,1498
Pav_sc0001781.1_g080.1.mk,1696,1221,2021,1332,1750,1195
Pav_sc0000017.1_g1340.1.br,0,0,0,0,0,0
Pav_sc0000869.1_g480.1.mk,392,325,314,313,273,113
Pav_sc0004913.1_g170.1.mk,315,356,0,509,523,251
MSTRG.16951.1,1,4,31,9,30,22
Pav_sc0001171.1_g100.1.mk,0,0,0,0,0,0
Pav_sc0002607.1_g190.1.mk,1,2,2,1,0,1
Pav_sc0000480.1_g030.1.mk,0,0,0,0,0,0
Pav_sc0001260.1_g060.1.mk,0,0,0,0,0,0
Pav_sc0000704.1_g720.1.mk,3,11,0,8,14,17
Pav_sc0002092.1_g110.1.br,209,228,0,167,237,142
Pav_sc0000030.1_g970.1.br,0,0,0,0,0,0
Pav_sc0012258.1_g010.1.mk,11,10,0,13,18,0
Pav_sc0000241.1_g300.1.br,0,0,0,0,0,0
Pav_sc0002234.1_g040.1.br,0,0,0,0,0,0
Pav_sc0005784.1_g100.1.mk,64,31,0,54,52,353
MSTRG.14642.6,18,0,71,24,0,0
Pav_sc0000195.1_g390.1.mk,0,0,0,0,0,0
Pav_sc0000136.1_g290.1.mk,32,14,0,20,6,21
Pav_sc0000389.1_g240.1.br,0,0,4,0,0,0
MSTRG.18446.3,39,78,90,36,30,48
MSTRG.12025.2,138,0,84,154,97,56
Pav_sc0000719.1_g500.1.mk,1353,1195,1009,1104,1148,972
Pav_sc0000507.1_g070.1.mk,0,0,0,0,0,0
Pav_sc0000201.1_g100.1.br,0,7,0,0,4,0
MSTRG.13156.2,734,637,694,901,804,588
Pav_sc0000146.1_g680.1.mk,756,489,0,242,332,530
Pav_sc0004001.1_g030.1.mk,0,2,0,0,6,9
Pav_sc0003447.1_g070.1.mk,3,3,0,0,0,0
Pav_sc0001267.1_g020.1.br,0,0,0,0,0,0
Pav_sc0002706.1_g100.1.br,0,0,0,0,0,0
MSTRG.8067.1,0,185,0,20,155,0
Pav_sc0000027.1_g040.1.mk,6,13,0,50,20,11
Pav_sc0001215.1_g470.1.mk,895,797,951,543,734,727
Pav_sc0000398.1_g290.1.br,0,0,0,0,0,0
Pav_sc0001797.1_g240.1.br,3,3,0,0,0,0
MSTRG.9809.1,106,96,92,72,95,81
MSTRG.9809.2,1100,847,1058,932,991,963
Pav_sc0004923.1_g050.1.br,0,0,0,0,0,0
Pav_sc0000195.1_g310.1.mk,746,619,876,703,881,695
MSTRG.9384.1,102,83,90,27,43,33
Pav_sc0000138.1_g660.1.mk,16,155,93,29,97,73
Pav_sc0000110.1_g340.1.br,0,0,0,0,0,0
Pav_sc0001251.1_g380.1.br,9,0,0,0,0,0
Pav_sc0000030.1_g1150.1.mk,5,3,4,0,2,2
MSTRG.18421.1,37,56,56,54,40,28
MSTRG.4954.1,1162,901,631,742,762,294
Pav_sc0000800.1_g1200.1.mk,0,0,0,0,0,0
MSTRG.3366.1,4147,3581,0,2454,2677,2157
Pav_sc0000023.1_g590.1.mk,1,1,1,1,1,1
MSTRG.24016.9,667,726,0,466,616,519
Pav_sc0001013.1_g230.1.br,0,0,0,0,0,0
MSTRG.24016.7,736,7301,0,2720,4303,348
Pav_sc0000800.1_g1220.1.mk,114,432,254,264,158,90
MSTRG.24016.5,0,0,0,1343,0,0
Pav_sc0000843.1_g450.1.mk,155,0,0,90,120,0
Pav_sc0001102.1_g380.1.mk,0,33,20,23,19,24
Pav_sc0000624.1_g260.1.mk,1,3,1,0,4,1
MSTRG.24016.1,8248,6553,0,4466,4145,2235
Pav_sc0000103.1_g2090.1.br,0,0,0,0,0,0
Pav_sc0001134.1_g060.1.br,0,0,0,0,0,0
Pav_sc0004156.1_g030.1.br,0,0,0,0,0,0
Pav_sc0000176.1_g170.1.mk,38,51,129,169,225,111
Pav_sc0000597.1_g110.1.br,0,0,0,0,0,0
MSTRG.6996.1,1856,1583,2530,2123,2713,2825
Pav_sc0000548.1_g170.1.br,0,0,0,0,0,0
Pav_sc0000566.1_g240.1.br,0,0,0,0,0,0
Pav_sc0005880.1_g020.1.br,1,0,0,0,4,0
Pav_sc0001057.1_g470.1.br,0,0,0,0,0,0
Pav_sc0000164.1_g370.1.mk,4,4,0,0,4,0
Pav_sc0000832.1_g200.1.br,0,0,0,0,0,0
Pav_sc0004222.1_g010.1.mk,14,10,0,53,67,30
MSTRG.11101.1,229,323,249,171,250,95
Pav_sc0001057.1_g190.1.br,0,0,0,0,0,0
Pav_sc0001520.1_g040.1.br,0,1,0,0,0,0
Pav_sc0002715.1_g020.1.br,0,0,0,0,0,0
MSTRG.3310.1,105,70,0,32,47,47
Pav_sc0000322.1_g220.1.br,96,66,0,49,65,51
Pav_sc0000220.1_g500.1.mk,62,112,12,16,124,272
Pav_sc0001454.1_g130.1.br,0,0,0,0,0,0
MSTRG.17199.7,6,19,37,4,8,15
MSTRG.17199.6,204,158,241,196,237,233
MSTRG.17199.5,688,853,926,500,400,677
MSTRG.17199.4,791,976,1012,387,389,752
MSTRG.17199.3,3425,3452,3616,2714,2730,2100
MSTRG.17199.2,2901,2263,2447,2470,2476,1446
MSTRG.2322.1,154,124,0,118,128,136
Pav_sc0001900.1_g100.1.mk,882,560,891,587,650,470
MSTRG.7303.4,437,299,392,409,522,442
MSTRG.7303.2,2095,2095,1163,814,1549,957
MSTRG.7303.3,1057,769,1658,1270,612,1128
MSTRG.12030.2,357,439,453,505,379,281
Pav_sc0004374.1_g030.1.br,5,11,11,13,21,10
Pav_sc0001900.1_g120.1.mk,0,0,0,0,0,0
Pav_sc0001036.1_g060.1.mk,8,25,0,1,5,12
Pav_sc0000622.1_g720.1.mk,21,35,30,33,40,36
Pav_sc0001528.1_g170.1.mk,0,0,0,0,0,0
MSTRG.1101.2,569,469,0,397,490,330
Pav_sc0000704.1_g340.1.mk,2895,2435,0,2067,2650,2242
Pav_co4047547.1_g010.1.br,0,0,0,0,1,0
Pav_sc0001080.1_g290.1.mk,1065,948,1155,907,1037,852
MSTRG.23807.1,2641,2313,0,4184,5701,3951
MSTRG.12502.4,595,1054,380,158,223,53
MSTRG.12502.5,24,32,68,31,52,45
MSTRG.12502.6,1988,269,0,157,106,116
Pav_sc0000087.1_g490.1.mk,186,177,217,329,332,321
MSTRG.10626.2,13240,12138,10646,7502,6646,4180
MSTRG.12502.2,561,4629,649,533,625,541
MSTRG.12502.3,786,903,543,252,278,86
MSTRG.6607.4,131,183,222,246,347,253
MSTRG.6607.5,122,121,53,145,153,138
MSTRG.23768.4,0,176,0,0,0,17
Pav_sc0000026.1_g060.1.mk,0,0,0,0,0,0
Pav_sc0000074.1_g050.1.br,1,2,0,1,0,0
MSTRG.23768.3,0,0,0,391,0,0
MSTRG.6607.2,174,185,298,516,332,436
MSTRG.6607.3,236,194,358,415,310,289
Pav_sc0001243.1_g540.1.mk,0,0,0,0,0,0
Pav_sc0000051.1_g390.1.mk,23492,22044,17083,11397,9915,7379
Pav_sc0000254.1_g850.1.mk,0,0,0,0,0,0
MSTRG.6716.3,619,827,1130,759,1093,667
MSTRG.6716.2,0,32,0,0,0,0
Pav_sc0000557.1_g1120.1.mk,12202,10454,0,10847,12386,10208
Pav_sc0000586.1_g020.1.mk,2,12,1,3,4,0
Pav_sc0002772.1_g110.1.br,0,0,0,0,0,0
MSTRG.6716.5,560,546,522,520,482,330
MSTRG.6716.4,0,22,0,200,0,142
MSTRG.23937.1,1093,830,0,644,864,768
Pav_sc0001265.1_g080.1.mk,1122,1214,1880,949,882,747
Pav_sc0000478.1_g260.1.mk,168,341,883,19,376,470
MSTRG.5748.1,85,100,85,64,43,53
MSTRG.19397.1,773,748,731,529,573,518
Pav_sc0000028.1_g180.1.mk,133,107,328,77,65,179
MSTRG.5538.1,186,221,278,192,207,135
MSTRG.22053.1,4522,9609,4173,8135,4155,0
MSTRG.2477.1,38,0,0,0,0,0
Pav_co4006335.1_g010.1.mk,0,0,0,0,0,0
Pav_sc0002271.1_g130.1.br,0,0,0,0,0,0
Pav_sc0001196.1_g1680.1.mk,208,381,203,372,331,111
Pav_sc0000146.1_g330.1.mk,9,7,0,5,10,10
Pav_sc0002108.1_g110.1.br,4,3,0,0,4,2
MSTRG.4825.1,462,1648,2117,1112,1432,1204
MSTRG.4825.2,59,38,25,18,0,143
MSTRG.9813.3,256,190,212,250,352,320
MSTRG.4825.4,55,41,26,19,0,135
MSTRG.4825.5,1407,978,659,903,608,348
MSTRG.4825.6,1455,790,415,501,846,309
Pav_co3993593.1_g010.1.br,0,0,0,0,0,0
MSTRG.7313.1,374,468,412,247,295,210
MSTRG.10486.2,1231,1148,1038,1491,1656,828
MSTRG.10486.1,1570,1361,1400,1715,1420,1031
MSTRG.7313.2,90,83,94,93,139,131
MSTRG.7313.4,740,735,652,553,656,596
MSTRG.10486.5,0,312,38,182,46,0
Pav_sc0000287.1_g1160.1.br,0,0,0,0,0,0
MSTRG.22053.2,9283,7817,9233,4004,7681,6882
MSTRG.4964.1,155,102,167,79,135,108
MSTRG.4964.2,128,119,251,74,102,101
MSTRG.4964.3,138,104,103,105,172,130
MSTRG.4964.4,139,106,139,103,138,72
MSTRG.6946.3,0,494,0,227,0,0
MSTRG.6946.1,928,464,963,1,382,762
Pav_sc0001110.1_g230.1.mk,2393,1972,2561,1625,2431,2115
MSTRG.1675.1,5473,4680,0,4504,4841,3870
Pav_sc0000491.1_g080.1.mk,12,9,0,9,24,8
Pav_co4042097.1_g010.1.br,0,0,0,0,0,0
MSTRG.21385.19,11,15,25,8,5,20
MSTRG.21385.18,230,261,289,149,268,147
MSTRG.1222.1,751,649,0,590,592,534
Pav_sc0000464.1_g810.1.br,0,0,0,0,0,0
MSTRG.21385.13,188,79,127,148,122,85
MSTRG.21385.12,42,49,101,99,65,54
MSTRG.21385.11,65,94,106,240,57,33
MSTRG.21385.10,0,40,19,5,22,41
MSTRG.21385.17,84,43,90,60,55,51
MSTRG.6617.2,1648,1488,1740,1071,1493,1101
MSTRG.21385.15,28,19,57,135,106,27
MSTRG.21385.14,109,60,215,78,120,32
Pav_sc0000373.1_g980.1.br,19,5,0,4,4,3
MSTRG.5151.2,259,292,338,165,199,93
Pav_sc0000040.1_g830.1.mk,2889,2661,3024,2372,2942,2821
MSTRG.22633.3,0,126,0,22,27,35
Pav_sc0000351.1_g220.1.mk,82,72,465,11,5,110
MSTRG.24937.4,361,325,0,243,116,172
MSTRG.19809.1,2428,3625,1664,1176,1781,1026
Pav_sc0000615.1_g090.1.mk,0,0,0,0,0,0
Pav_sc0002607.1_g140.1.mk,0,0,0,0,0,0
Pav_co3995259.1_g010.1.mk,4903,3943,0,3661,4251,3822
Pav_sc0003515.1_g220.1.br,11,12,15,13,13,15
Pav_sc0000389.1_g320.1.br,0,0,0,0,0,0
MSTRG.355.2,363,477,0,318,239,305
Pav_sc0000289.1_g080.1.br,47,46,18,10,15,0
Pav_sc0000102.1_g420.1.mk,42,45,20,48,64,44
Pav_sc0000816.1_g520.1.br,0,0,0,0,0,0
Pav_sc0002496.1_g050.1.br,0,0,0,0,0,0
MSTRG.1612.3,95,288,0,14,169,0
Pav_sc0000583.1_g510.1.mk,29,78,0,227,124,56
Pav_sc0001985.1_g060.1.br,1,2,0,5,1,1
MSTRG.13440.1,80,98,156,117,128,144
MSTRG.13440.2,0,0,0,0,14,17
Pav_sc0000492.1_g070.1.br,0,0,0,0,0,0
Pav_sc0000299.1_g080.1.mk,0,0,0,0,0,0
Pav_sc0000672.1_g150.1.br,120,113,127,180,158,94
Pav_sc0001289.1_g190.1.br,0,0,0,0,0,0
MSTRG.10301.3,30,33,75,61,61,26
MSTRG.10301.2,0,0,114,13,37,45
MSTRG.10301.7,41,21,9,205,152,254
Pav_sc0001109.1_g070.1.br,0,2,0,0,0,0
MSTRG.10301.5,28,116,13,25,35,47
MSTRG.10301.4,136,83,105,122,113,123
Pav_sc0000691.1_g880.1.br,2,0,0,13,10,10
Pav_sc0000219.1_g240.1.mk,759,764,1098,1098,1054,778
MSTRG.980.2,8186,7397,0,7234,9164,7090
Pav_sc0000354.1_g170.1.br,0,0,0,0,0,0
Pav_sc0004298.1_g060.1.br,0,0,0,0,0,0
MSTRG.6970.1,27,37,52,0,55,34
Pav_sc0000375.1_g290.1.mk,0,0,0,25,0,0
MSTRG.8.2,1546,1470,0,774,136,1711
MSTRG.8.3,785,552,0,82,162,0
MSTRG.8.4,506,0,0,0,435,20
MSTRG.8.5,261,109,0,922,211,61
MSTRG.8.6,17,917,0,692,1546,242
MSTRG.11691.1,569,682,1151,341,744,687
Pav_sc0002327.1_g740.1.mk,0,0,0,0,0,0
MSTRG.4678.1,1869,1773,0,1518,1764,1275
Pav_sc0010338.1_g010.1.br,672,596,0,470,675,592
MSTRG.18839.1,411,321,382,266,311,269
Pav_sc0000142.1_g040.1.mk,0,0,0,0,0,0
Pav_sc0001142.1_g020.1.mk,12,18,18,8,11,6
MSTRG.8300.1,2920,2891,3029,2249,2469,1981
MSTRG.8300.2,207,176,166,138,355,153
Pav_sc0001025.1_g670.1.mk,0,0,0,0,0,0
Pav_sc0000671.1_g270.1.mk,862,629,913,643,703,580
Pav_sc0000103.1_g620.1.mk,0,0,0,0,0,0
Pav_sc0001305.1_g620.1.mk,1721,1742,1790,1229,1574,1541
Pav_sc0000755.1_g020.1.mk,0,1,0,6,4,2
Pav_sc0001700.1_g080.1.br,0,0,0,0,0,0
Pav_sc0000030.1_g1520.1.mk,39,121,204,55,524,48
MSTRG.19815.1,63,31,54,50,69,47
Pav_sc0000398.1_g300.1.br,0,0,0,0,0,0
MSTRG.3760.2,0,125,0,70,0,0
MSTRG.19433.1,96,78,92,83,67,37
Pav_sc0000247.1_g140.1.mk,5,18,35,21,57,15
Pav_sc0001862.1_g200.1.br,0,9,36,0,19,6
MSTRG.11884.1,77,91,75,61,86,86
Pav_sc0000339.1_g010.1.br,0,0,0,0,0,0
Pav_sc0000480.1_g730.1.mk,70,33,79,147,143,213
Pav_sc0002318.1_g030.1.mk,11,10,23,0,12,8
Pav_sc0000325.1_g060.1.br,0,0,0,0,0,0
Pav_sc0001030.1_g050.1.mk,41,166,63,51,42,49
Pav_sc0001543.1_g210.1.mk,28,35,17,17,31,6
Pav_sc0001685.1_g170.1.mk,0,0,0,0,0,0
Pav_sc0001411.1_g320.1.br,0,0,0,0,0,0
Pav_sc0010303.1_g010.1.br,0,0,0,0,0,0
Pav_sc0000260.1_g560.1.br,0,0,0,0,0,0
MSTRG.24782.1,168,136,0,219,243,107
Pav_sc0005397.1_g040.1.br,0,0,0,0,0,0
